Vervoerwijzen;Perioden;Regios;Reizigerskilometers (mld km)
Brom-/snorfiets;2013;Noord-Holland (PV);     0.2
Brom-/snorfiets;2014;Noord-Holland (PV);     0.2
Brom-/snorfiets;2015;Noord-Holland (PV);     0.2
Brom-/snorfiets;2016;Noord-Holland (PV);     0.2
Brom-/snorfiets;2017;Noord-Holland (PV);     0.3
Brom-/snorfiets;2010;Zuid-Holland (PV);     0.2
Brom-/snorfiets;2011;Zuid-Holland (PV);     0.3
Brom-/snorfiets;2012;Zuid-Holland (PV);     0.3
Brom-/snorfiets;2013;Zuid-Holland (PV);     0.3
Brom-/snorfiets;2014;Zuid-Holland (PV);     0.4
Brom-/snorfiets;2015;Zuid-Holland (PV);     0.2
Brom-/snorfiets;2016;Zuid-Holland (PV);     0.3
Brom-/snorfiets;2017;Zuid-Holland (PV);     0.3
Brom-/snorfiets;2010;Zeeland (PV);     0.0
Brom-/snorfiets;2011;Zeeland (PV);     0.0
Brom-/snorfiets;2012;Zeeland (PV);     0.0
Brom-/snorfiets;2013;Zeeland (PV);     0.0
Brom-/snorfiets;2014;Zeeland (PV);     0.0
Brom-/snorfiets;2015;Zeeland (PV);     0.0
Brom-/snorfiets;2016;Zeeland (PV);     0.0
Brom-/snorfiets;2017;Zeeland (PV);     0.0
Brom-/snorfiets;2010;Noord-Brabant (PV);     0.1
Brom-/snorfiets;2011;Noord-Brabant (PV);     0.1
Brom-/snorfiets;2012;Noord-Brabant (PV);     0.1
Brom-/snorfiets;2013;Noord-Brabant (PV);     0.2
Brom-/snorfiets;2014;Noord-Brabant (PV);     0.2
Brom-/snorfiets;2015;Noord-Brabant (PV);     0.1
Brom-/snorfiets;2016;Noord-Brabant (PV);     0.1
Brom-/snorfiets;2017;Noord-Brabant (PV);     0.1
Brom-/snorfiets;2010;Limburg (PV);     0.1
Brom-/snorfiets;2011;Limburg (PV);     0.1
Brom-/snorfiets;2012;Limburg (PV);     0.1
Brom-/snorfiets;2013;Limburg (PV);     0.0
Brom-/snorfiets;2014;Limburg (PV);     0.1
Brom-/snorfiets;2015;Limburg (PV);     0.1
Brom-/snorfiets;2016;Limburg (PV);     0.1
Brom-/snorfiets;2017;Limburg (PV);     0.0
Fiets;2010;Groningen (PV);     0.5
Fiets;2011;Groningen (PV);     0.7
Fiets;2012;Groningen (PV);     0.6
Fiets;2013;Groningen (PV);     0.6
Fiets;2014;Groningen (PV);     0.6
Fiets;2015;Groningen (PV);     0.7
Fiets;2016;Groningen (PV);     0.5
Fiets;2017;Groningen (PV);     0.6
Fiets;2010;Friesland (PV);     0.6
Fiets;2011;Friesland (PV);     0.6
Fiets;2012;Friesland (PV);     0.6
Fiets;2013;Friesland (PV);     0.6
Fiets;2014;Friesland (PV);     0.6
Fiets;2015;Friesland (PV);     0.6
Fiets;2016;Friesland (PV);     0.5
Fiets;2017;Friesland (PV);     0.5
Fiets;2010;Drenthe (PV);     0.4
Fiets;2011;Drenthe (PV);     0.4
Fiets;2012;Drenthe (PV);     0.4
Fiets;2013;Drenthe (PV);     0.5
Fiets;2014;Drenthe (PV);     0.4
Fiets;2015;Drenthe (PV);     0.5
Fiets;2016;Drenthe (PV);     0.5
Fiets;2017;Drenthe (PV);     0.4
Fiets;2010;Overijssel (PV);     1.1
Fiets;2011;Overijssel (PV);     1.2
Fiets;2012;Overijssel (PV);     1.1
Fiets;2013;Overijssel (PV);     1.1
Fiets;2014;Overijssel (PV);     1.2
Fiets;2015;Overijssel (PV);     1.1
Fiets;2016;Overijssel (PV);     1.1
Fiets;2017;Overijssel (PV);     1.1
Fiets;2010;Flevoland (PV);     0.3
Fiets;2011;Flevoland (PV);     0.3
Fiets;2012;Flevoland (PV);     0.2
Fiets;2013;Flevoland (PV);     0.2
Fiets;2014;Flevoland (PV);     0.3
Fiets;2015;Flevoland (PV);     0.2
Fiets;2016;Flevoland (PV);     0.2
Fiets;2017;Flevoland (PV);     0.3
Fiets;2010;Gelderland (PV);     1.8
Fiets;2011;Gelderland (PV);     1.9
Fiets;2012;Gelderland (PV);     1.8
Fiets;2013;Gelderland (PV);     1.8
Fiets;2014;Gelderland (PV);     2.1
Fiets;2015;Gelderland (PV);     1.8
Fiets;2016;Gelderland (PV);     1.9
Fiets;2017;Gelderland (PV);     1.9
Fiets;2010;Utrecht (PV);     1.1
Fiets;2011;Utrecht (PV);     1.3
Fiets;2012;Utrecht (PV);     1.2
Fiets;2013;Utrecht (PV);     1.3
Fiets;2014;Utrecht (PV);     1.4
Fiets;2015;Utrecht (PV);     1.2
Fiets;2016;Utrecht (PV);     1.2
Fiets;2017;Utrecht (PV);     1.2
Fiets;2010;Noord-Holland (PV);     2.3
Fiets;2011;Noord-Holland (PV);     2.4
Fiets;2012;Noord-Holland (PV);     2.7
Fiets;2013;Noord-Holland (PV);     2.4
Fiets;2014;Noord-Holland (PV);     2.9
Fiets;2015;Noord-Holland (PV);     2.7
Fiets;2016;Noord-Holland (PV);     2.6
Fiets;2017;Noord-Holland (PV);     2.6
Fiets;2010;Zuid-Holland (PV);     2.5
Fiets;2011;Zuid-Holland (PV);     2.8
Fiets;2012;Zuid-Holland (PV);     2.8
Fiets;2013;Zuid-Holland (PV);     3.0
Fiets;2014;Zuid-Holland (PV);     3.1
Fiets;2015;Zuid-Holland (PV);     2.9
Fiets;2016;Zuid-Holland (PV);     2.8
Fiets;2017;Zuid-Holland (PV);     2.9
Fiets;2010;Zeeland (PV);     0.3
Fiets;2011;Zeeland (PV);     0.3
Fiets;2012;Zeeland (PV);     0.3
Fiets;2013;Zeeland (PV);     0.3
Fiets;2014;Zeeland (PV);     0.4
Fiets;2015;Zeeland (PV);     0.4
Fiets;2016;Zeeland (PV);     0.3
Fiets;2017;Zeeland (PV);     0.4
Fiets;2010;Noord-Brabant (PV);     2.0
Fiets;2011;Noord-Brabant (PV);     2.4
Fiets;2012;Noord-Brabant (PV);     2.2
Fiets;2013;Noord-Brabant (PV);     2.1
Fiets;2014;Noord-Brabant (PV);     2.4
Fiets;2015;Noord-Brabant (PV);     2.2
Fiets;2016;Noord-Brabant (PV);     2.2
Fiets;2017;Noord-Brabant (PV);     1.9
Fiets;2010;Limburg (PV);     0.8
Fiets;2011;Limburg (PV);     0.7
Fiets;2012;Limburg (PV);     0.8
Fiets;2013;Limburg (PV);     0.7
Fiets;2014;Limburg (PV);     0.8
Fiets;2015;Limburg (PV);     0.7
Fiets;2016;Limburg (PV);     0.7
Fiets;2017;Limburg (PV);     0.7
Lopen;2010;Groningen (PV);     0.2
Lopen;2011;Groningen (PV);     0.2
Lopen;2012;Groningen (PV);     0.2
Lopen;2013;Groningen (PV);     0.2
Lopen;2014;Groningen (PV);     0.2
Lopen;2015;Groningen (PV);     0.2
Lopen;2016;Groningen (PV);     0.2
Lopen;2017;Groningen (PV);     0.2
Lopen;2010;Friesland (PV);     0.2
Lopen;2011;Friesland (PV);     0.2
Lopen;2012;Friesland (PV);     0.2
Lopen;2013;Friesland (PV);     0.2
Lopen;2014;Friesland (PV);     0.2
Lopen;2015;Friesland (PV);     0.2
Lopen;2016;Friesland (PV);     0.2
Lopen;2017;Friesland (PV);     0.2
Lopen;2010;Drenthe (PV);     0.2
Lopen;2011;Drenthe (PV);     0.1
Lopen;2012;Drenthe (PV);     0.1
Lopen;2013;Drenthe (PV);     0.2
Lopen;2014;Drenthe (PV);     0.1
Lopen;2015;Drenthe (PV);     0.1
Lopen;2016;Drenthe (PV);     0.1
Lopen;2017;Drenthe (PV);     0.1
Lopen;2010;Overijssel (PV);     0.3
Lopen;2011;Overijssel (PV);     0.3
Lopen;2012;Overijssel (PV);     0.3
Lopen;2013;Overijssel (PV);     0.3
Lopen;2014;Overijssel (PV);     0.4
Lopen;2015;Overijssel (PV);     0.3
Lopen;2016;Overijssel (PV);     0.3
Lopen;2017;Overijssel (PV);     0.3
Lopen;2010;Flevoland (PV);     0.1
Lopen;2011;Flevoland (PV);     0.1
Lopen;2012;Flevoland (PV);     0.2
Lopen;2013;Flevoland (PV);     0.1
Lopen;2014;Flevoland (PV);     0.1
Lopen;2015;Flevoland (PV);     0.1
Lopen;2016;Flevoland (PV);     0.1
Lopen;2017;Flevoland (PV);     0.1
Lopen;2010;Gelderland (PV);     0.7
Lopen;2011;Gelderland (PV);     0.6
Lopen;2012;Gelderland (PV);     0.6
Lopen;2013;Gelderland (PV);     0.6
Lopen;2014;Gelderland (PV);     0.6
Lopen;2015;Gelderland (PV);     0.6
Lopen;2016;Gelderland (PV);     0.6
Lopen;2017;Gelderland (PV);     0.6
Lopen;2010;Utrecht (PV);     0.4
Lopen;2011;Utrecht (PV);     0.4
Lopen;2012;Utrecht (PV);     0.4
Lopen;2013;Utrecht (PV);     0.4
Lopen;2014;Utrecht (PV);     0.4
Lopen;2015;Utrecht (PV);     0.4
Lopen;2016;Utrecht (PV);     0.4
Lopen;2017;Utrecht (PV);     0.4
Lopen;2010;Noord-Holland (PV);     1.0
Lopen;2011;Noord-Holland (PV);     1.0
Lopen;2012;Noord-Holland (PV);     1.0
Lopen;2013;Noord-Holland (PV);     1.0
Lopen;2014;Noord-Holland (PV);     1.0
Lopen;2015;Noord-Holland (PV);     0.9
Lopen;2016;Noord-Holland (PV);     1.0
Lopen;2017;Noord-Holland (PV);     1.0
Lopen;2010;Zuid-Holland (PV);     1.2
Lopen;2011;Zuid-Holland (PV);     1.3
Lopen;2012;Zuid-Holland (PV);     1.2
Lopen;2013;Zuid-Holland (PV);     1.2
Lopen;2014;Zuid-Holland (PV);     1.3
Lopen;2015;Zuid-Holland (PV);     1.2
Lopen;2016;Zuid-Holland (PV);     1.3
Lopen;2017;Zuid-Holland (PV);     1.3
Lopen;2010;Zeeland (PV);     0.1
Lopen;2011;Zeeland (PV);     0.1
Lopen;2012;Zeeland (PV);     0.1
Lopen;2013;Zeeland (PV);     0.1
Lopen;2014;Zeeland (PV);     0.1
Lopen;2015;Zeeland (PV);     0.1
Lopen;2016;Zeeland (PV);     0.1
Lopen;2017;Zeeland (PV);     0.1
Lopen;2010;Noord-Brabant (PV);     0.8
Lopen;2011;Noord-Brabant (PV);     0.8
Lopen;2012;Noord-Brabant (PV);     0.7
Lopen;2013;Noord-Brabant (PV);     0.8
Lopen;2014;Noord-Brabant (PV);     0.8
Lopen;2015;Noord-Brabant (PV);     0.7
Lopen;2016;Noord-Brabant (PV);     0.7
Lopen;2017;Noord-Brabant (PV);     0.8
Lopen;2010;Limburg (PV);     0.4
Lopen;2011;Limburg (PV);     0.4
Lopen;2012;Limburg (PV);     0.4
Lopen;2013;Limburg (PV);     0.4
Lopen;2014;Limburg (PV);     0.4
Lopen;2015;Limburg (PV);     0.4
Lopen;2016;Limburg (PV);     0.4
Lopen;2017;Limburg (PV);     0.4
Overige vervoerwijze;2010;Groningen (PV);     0.3
Overige vervoerwijze;2011;Groningen (PV);     0.4
Overige vervoerwijze;2012;Groningen (PV);     0.3
Overige vervoerwijze;2013;Groningen (PV);     0.4
Overige vervoerwijze;2014;Groningen (PV);     0.4
Overige vervoerwijze;2015;Groningen (PV);     0.3
Overige vervoerwijze;2016;Groningen (PV);     0.3
Overige vervoerwijze;2017;Groningen (PV);     0.5
Overige vervoerwijze;2010;Friesland (PV);     0.3
Overige vervoerwijze;2011;Friesland (PV);     0.3
Overige vervoerwijze;2012;Friesland (PV);     0.5
Overige vervoerwijze;2013;Friesland (PV);     0.3
Overige vervoerwijze;2014;Friesland (PV);     0.6
Overige vervoerwijze;2015;Friesland (PV);     0.4
Overige vervoerwijze;2016;Friesland (PV);     0.6
Overige vervoerwijze;2017;Friesland (PV);     0.5
Overige vervoerwijze;2010;Drenthe (PV);     0.3
Overige vervoerwijze;2011;Drenthe (PV);     0.4
Overige vervoerwijze;2012;Drenthe (PV);     0.3
Overige vervoerwijze;2013;Drenthe (PV);     0.5
Overige vervoerwijze;2014;Drenthe (PV);     0.5
Overige vervoerwijze;2015;Drenthe (PV);     0.6
Overige vervoerwijze;2016;Drenthe (PV);     0.3
Overige vervoerwijze;2017;Drenthe (PV);     0.2
Overige vervoerwijze;2010;Overijssel (PV);     0.6
Overige vervoerwijze;2011;Overijssel (PV);     0.6
Overige vervoerwijze;2012;Overijssel (PV);     0.9
Overige vervoerwijze;2013;Overijssel (PV);     0.5
Overige vervoerwijze;2014;Overijssel (PV);     0.9
Overige vervoerwijze;2015;Overijssel (PV);     0.7
Overige vervoerwijze;2016;Overijssel (PV);     0.7
Overige vervoerwijze;2017;Overijssel (PV);     1.2
Overige vervoerwijze;2010;Flevoland (PV);     0.3
Overige vervoerwijze;2011;Flevoland (PV);     0.2
Overige vervoerwijze;2012;Flevoland (PV);     0.3
Overige vervoerwijze;2013;Flevoland (PV);     0.3
Overige vervoerwijze;2014;Flevoland (PV);     0.2
Overige vervoerwijze;2015;Flevoland (PV);     0.1
Overige vervoerwijze;2016;Flevoland (PV);     0.2
Overige vervoerwijze;2017;Flevoland (PV);     0.4
Overige vervoerwijze;2010;Gelderland (PV);     1.1
Overige vervoerwijze;2011;Gelderland (PV);     1.3
Overige vervoerwijze;2012;Gelderland (PV);     1.6
Overige vervoerwijze;2013;Gelderland (PV);     1.2
Overige vervoerwijze;2014;Gelderland (PV);     1.9
Overige vervoerwijze;2015;Gelderland (PV);     1.5
Overige vervoerwijze;2016;Gelderland (PV);     1.8
Overige vervoerwijze;2017;Gelderland (PV);     1.3
Overige vervoerwijze;2010;Utrecht (PV);     0.4
Overige vervoerwijze;2011;Utrecht (PV);     0.9
Overige vervoerwijze;2012;Utrecht (PV);     0.7
Overige vervoerwijze;2013;Utrecht (PV);     0.7
Overige vervoerwijze;2014;Utrecht (PV);     0.8
Overige vervoerwijze;2015;Utrecht (PV);     0.6
Overige vervoerwijze;2016;Utrecht (PV);     0.7
Overige vervoerwijze;2017;Utrecht (PV);     0.9
Overige vervoerwijze;2010;Noord-Holland (PV);     1.6
Overige vervoerwijze;2011;Noord-Holland (PV);     1.7
Overige vervoerwijze;2012;Noord-Holland (PV);     1.6
Overige vervoerwijze;2013;Noord-Holland (PV);     1.7
Overige vervoerwijze;2014;Noord-Holland (PV);     1.9
Overige vervoerwijze;2015;Noord-Holland (PV);     1.3
Overige vervoerwijze;2016;Noord-Holland (PV);     1.6
Overige vervoerwijze;2017;Noord-Holland (PV);     1.5
Overige vervoerwijze;2010;Zuid-Holland (PV);     1.7
Overige vervoerwijze;2011;Zuid-Holland (PV);     2.4
Overige vervoerwijze;2012;Zuid-Holland (PV);     1.9
Overige vervoerwijze;2013;Zuid-Holland (PV);     1.6
Overige vervoerwijze;2014;Zuid-Holland (PV);     1.6
Overige vervoerwijze;2015;Zuid-Holland (PV);     1.8
Overige vervoerwijze;2016;Zuid-Holland (PV);     1.8
Overige vervoerwijze;2017;Zuid-Holland (PV);     2.0
Overige vervoerwijze;2010;Zeeland (PV);     0.3
Overige vervoerwijze;2011;Zeeland (PV);     0.3
Overige vervoerwijze;2012;Zeeland (PV);     0.2
Overige vervoerwijze;2013;Zeeland (PV);     0.3
Overige vervoerwijze;2014;Zeeland (PV);     0.3
Overige vervoerwijze;2015;Zeeland (PV);     0.2
Overige vervoerwijze;2016;Zeeland (PV);     0.2
Overige vervoerwijze;2017;Zeeland (PV);     0.2
Overige vervoerwijze;2010;Noord-Brabant (PV);     1.3
Overige vervoerwijze;2011;Noord-Brabant (PV);     1.1
Overige vervoerwijze;2012;Noord-Brabant (PV);     1.5
Overige vervoerwijze;2013;Noord-Brabant (PV);     1.7
Overige vervoerwijze;2014;Noord-Brabant (PV);     1.5
Overige vervoerwijze;2015;Noord-Brabant (PV);     1.6
Overige vervoerwijze;2016;Noord-Brabant (PV);     1.5
Overige vervoerwijze;2017;Noord-Brabant (PV);     1.8
Overige vervoerwijze;2010;Limburg (PV);     0.6
Overige vervoerwijze;2011;Limburg (PV);     0.6
Overige vervoerwijze;2012;Limburg (PV);     0.8
Overige vervoerwijze;2013;Limburg (PV);     0.7
Overige vervoerwijze;2014;Limburg (PV);     0.7
Overige vervoerwijze;2015;Limburg (PV);     0.7
Overige vervoerwijze;2016;Limburg (PV);     0.5
Overige vervoerwijze;2017;Limburg (PV);     0.9
